date,ilosc,articles,customers,year,month,day,day_of_year,week_of_year,quarter,season,month_sin,month_cos,day_sin,day_cos,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,quarter_sin,quarter_cos,season_sin,season_cos,is_last_days,is_weak_month,is_saturday,is_first_days,ilosc_log,ilosc_log_std,customers_log,customers_log_std,articles_log,articles_log_std
2022-01-03,7.072,7,3,2022,1,3,3,1,1,1,0.49999999999999994,0.8660254037844387,0.5877852522924731,0.8090169943749475,0.051619667223253764,0.998666816288476,0.12020794657696499,0.9927487343632071,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,2.088401283051308,-3.6190923972691316,1.3862943611198906,-6.906660329236951,2.0794415416798357,-6.062105762935254
2022-01-04,230.061,415,35,2022,1,4,4,1,1,1,0.49999999999999994,0.8660254037844387,0.7431448254773941,0.6691306063588582,0.06880242680231986,0.9976303053065857,0.12020794657696499,0.9927487343632071,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,5.442681744925712,-0.37750346834093834,3.58351893845611,-1.220854920141974,6.030685260261263,-0.6411788837827191
2022-01-05,115.141,411,37,2022,1,5,5,1,1,1,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.08596479873744647,0.9962981749346078,0.12020794657696499,0.9927487343632071,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,1,4.754804970204752,-1.0422701039120899,3.6375861597263857,-1.080944006016864,6.021023349349527,-0.6544345866185377
2022-01-10,148.733,434,47,2022,1,10,10,2,1,1,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.1712931441814776,0.9852201067560606,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.008853708013826,-0.7967564728217778,3.871201010907891,-0.476413819073908,6.075346031088684,-0.5799063351207608
2022-01-11,505.648,896,53,2022,1,11,11,2,1,1,0.49999999999999994,0.8660254037844387,0.7431448254773945,-0.6691306063588579,0.1882267098432442,0.9821256058680006,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,6.2278164823882625,0.3812536187910456,3.9889840465642745,-0.17162411840226158,6.799055862058796,0.41299067524672756
2022-01-12,274.261,654,55,2022,1,12,12,2,1,1,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,0.2051044998686192,0.9787400799669153,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.617719738473655,-0.20834611001147182,4.02535169073515,-0.07751478152533213,6.484635235635252,-0.018380140257232315
2022-01-13,254.371,646,57,2022,1,13,13,2,1,1,0.49999999999999994,0.8660254037844387,0.40673664307580004,-0.913545457642601,0.2219215130041655,0.9750645322571948,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.542717389774784,-0.2808286546136042,4.060443010546419,0.013291783289761256,6.472346294500901,-0.0352400092139977
2022-01-14,233.155,591,50,2022,1,14,14,2,1,1,0.49999999999999994,0.8660254037844387,0.20791169081775931,-0.9781476007338057,0.2386727660059501,0.9711000518829505,0.238672573649364,0.971100099159499,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.455983289234574,-0.3646488071820558,3.9318256327243257,-0.31953417818343793,6.3835066348840055,-0.15712398627347704
2022-01-17,1489.54,1165,45,2022,1,17,17,3,1,1,0.49999999999999994,0.8660254037844387,-0.4067366430758002,-0.9135454576426009,0.288482432880609,0.9574851883550393,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,7.306893749390033,1.4240778435180257,3.828641396489095,-0.5865462508550763,7.061334366910438,0.7728248687407835
2022-01-18,232.934,538,59,2022,1,18,18,3,1,1,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475,0.30492122465628907,0.9523775757303974,0.3536758442582659,0.9353680543979481,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0,0,0,0,5.455039024291707,-0.36556134828276715,4.0943445622221,0.10101955944998849,6.289715570908998,-0.28580106517281995
